"","movie_index","original_title","moviesynthesis","neigbhoors"
1456,1456,"Bound by Honor","{'movie_id':'9702','original_title':'Bound by Honor','overview':'Based on the true life experiences of poet Jimmy Santiago Baca; the film focuses on half-brothers Paco and Cruz; and their bi-racial cousin Miklo. It opens in 1972; as the three are members of an East L.A. gang known as the °Vatos Locos°; and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin; where he makes a °home° for himself. Cruz becomes an exceptional artist; but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his °carnal°; Miklo.','tagline':'An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2435','neighb2':'2915','neighb3':'3966','neighb4':'3518','neighb5':'3316'}"
1457,1457,"Smilla°s Sense of Snow","{'movie_id':'9311','original_title':'Smilla°s Sense of Snow','overview':'Smilla Jaspersen; half Danish; half Greenlander; attempts to understand the death of a small boy who falls from the roof of her apartment building. Suspecting wrongdoing; Smilla uncovers a trail of clues leading towards a secretive corporation that has made several mysterious expeditions to Greenland. Scenes from the film were shot in Copenhagen and western Greenland. The film was entered into the 47th Berlin International Film Festival; where director Bille August was nominated for the Golden Bear.','tagline':'Some Tracks Should Never Be Uncovered.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2008','neighb2':'973','neighb3':'3074','neighb4':'3293','neighb5':'3833'}"
1458,1458,"Femme Fatale","{'movie_id':'9280','original_title':'Femme Fatale','overview':'A woman tries to straighten out her life; even as her past as a con-woman comes back to haunt her.','tagline':'Nothing is more desirable or more deadly than a woman with a secret.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1025','neighb2':'2822','neighb3':'2036','neighb4':'1225','neighb5':'3244'}"
1459,1459,"Lion of the Desert","{'movie_id':'26843','original_title':'Lion of the Desert','overview':'This movie tells the story of Omar Mukhtar; an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history; and exposes the savage means by which the conquering army attempted to subdue the natives.','tagline':'He was a man of honor in a war without any.','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2829','neighb2':'2724','neighb3':'1787','neighb4':'3514','neighb5':'889'}"
1460,1460,"Le Hussard sur le toit","{'movie_id':'11876','original_title':'Le Hussard sur le toit','overview':'In a time of war and disease; a young officer gallantly tries to help a young woman find her husband.','tagline':' ','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1433','neighb2':'2474','neighb3':'535','neighb4':'3616','neighb5':'660'}"
1461,1461,"Ride with the Devil","{'movie_id':'22267','original_title':'Ride with the Devil','overview':'Ride with the Devil follows four people who are fighting for truth and justice amidst the turmoil of the American Civil War. Director Ang Lee takes us to a no man°s land on the Missouri/Kansas border where a staunch loyalist; an immigrant°s son; a freed slave; and a young widow form an unlikely friendship as they learn how to survive in an uncertain time. In a place without rules and redefine the meaning of bravery and honor.','tagline':'In a No-man°s Land between North and South; You didn°t fight for the Blue or the Grey... You fought for your friends and family.','main_category':'War','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1090','neighb2':'2779','neighb3':'3603','neighb4':'2168','neighb5':'1463'}"
1462,1462,"Biutiful","{'movie_id':'45958','original_title':'Biutiful','overview':'This is a story of a man in free fall. On the road to redemption; darkness lights his way. Connected with the afterlife; Uxbal is a tragic hero and father of two who°s sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive; for love; and forever.','tagline':'You don°t choose your family. We all belong to somebody; but to belong to Uxbal and Marambra; is both a blessing and a curse.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3999','neighb2':'2236','neighb3':'3946','neighb4':'3367','neighb5':'4346'}"
1463,1463,"Bandidas","{'movie_id':'1969','original_title':'Bandidas','overview':'Set in the late 19th century. When a ruthless robber baron takes away everything they cherish; a rough-and-tumble; idealistic peasant and a sophisticated heiress embark on a quest for justice; vengeance…and a few good heists.','tagline':'Being BAD never looked so GOOD!','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2168','neighb2':'3603','neighb3':'2250','neighb4':'3447','neighb5':'1795'}"
1464,1464,"Black Water Transit","{'movie_id':'310706','original_title':'Black Water Transit','overview':'In this action thriller set in post-Katrina New Orleans; business owner Jack Vermillion (Laurence Fishburne) is struggling to run a legitimate shipping company while bad guy Ernest Pike (Karl Urban) is struggling to get his family°s illegal gun collection out of the country. When their paths collide; Jack realizes that exposing Pike might get him just the sway he needs to persuade law enforcement officials to treat his imprisoned son kindly.','tagline':' ','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4210','neighb2':'4569','neighb3':'4794','neighb4':'3960','neighb5':'4694'}"
1465,1465,"The Maze Runner","{'movie_id':'198663','original_title':'The Maze Runner','overview':'Set in a post-apocalyptic world; young Thomas is deposited in a community of boys after his memory is erased; soon learning they°re all trapped in a maze that will require him to join forces with fellow °runners° for a shot at escape.','tagline':'Run - Remember - Survive','main_category':'Mystery','homepage':'http://themazerunnermovie.com/'}","{'neighb1':'279','neighb2':'249','neighb3':'634','neighb4':'662','neighb5':'185'}"
1466,1466,"Unfinished Business","{'movie_id':'239573','original_title':'Unfinished Business','overview':'A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way; including unplanned stops at a massive sex fetish event and a global economic summit.','tagline':'Best business trip ever.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1251','neighb2':'2199','neighb3':'846','neighb4':'797','neighb5':'4036'}"
1467,1467,"The Age of Innocence","{'movie_id':'10436','original_title':'The Age of Innocence','overview':'Tale of 19th century New York high society in which a young lawyer falls in love with a woman separated from her husband; while he is engaged to the woman°s cousin.','tagline':'In a world of tradition. In an age of innocence. They dared to break the rules.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3757','neighb2':'2032','neighb3':'2374','neighb4':'2788','neighb5':'2769'}"
1468,1468,"The Fountain","{'movie_id':'1381','original_title':'The Fountain','overview':'Spanning over one thousand years; and three parallel stories; The Fountain is a story of love; death; spirituality; and the fragility of our existence in this world.','tagline':'Death is the road to awe','main_category':'Adventure','homepage':'http://thefountainmovie.warnerbros.com/'}","{'neighb1':'83','neighb2':'4042','neighb3':'2433','neighb4':'1001','neighb5':'4117'}"
1469,1469,"Chill Factor","{'movie_id':'2162','original_title':'Chill Factor','overview':'A store clerk and an ice cream truck driver are thrown together when a dying scientist entrusts them with a deadly chemical kept in ice. This chemical will kill every living thing once it melts. They have to take the chemical codenamed °Elvis° to the next nearest military base while being chased by terrorists who want it to hold the country for ransom.','tagline':'This Fall; Action is served on the rocks; with a twist.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1097','neighb2':'1267','neighb3':'437','neighb4':'1636','neighb5':'2803'}"
1470,1470,"Stolen","{'movie_id':'127493','original_title':'Stolen','overview':'A former thief frantically searches for his missing daughter; who has been kidnapped and locked in the trunk of a taxi.','tagline':'Never steal from the world°s greatest thief.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1448','neighb2':'1254','neighb3':'2195','neighb4':'2507','neighb5':'3073'}"
1471,1471,"崖の上のポニョ","{'movie_id':'12429','original_title':'崖の上のポニョ','overview':'The son of a sailor; 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day; he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her; names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess; Ponyo uses her father°s magic to transform herself into a young girl and quickly falls in love with Sosuke; but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo°s father sends the ocean°s mighty waves to find his daughter; the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo°s dreams of becoming human.','tagline':'Welcome To A World Where Anything Is Possible.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'689','neighb2':'722','neighb3':'2501','neighb4':'430','neighb5':'2511'}"
1472,1472,"The Longest Ride","{'movie_id':'228205','original_title':'The Longest Ride','overview':'The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he°s trapped in an automobile crash.','tagline':'Two couples. Two love stories. One epic tale.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1816','neighb2':'2480','neighb3':'1492','neighb4':'1588','neighb5':'1543'}"
1473,1473,"The Astronaut°s Wife","{'movie_id':'2900','original_title':'The Astronaut°s Wife','overview':'When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life; he decides to take a desk job in order to see his beautiful wife; Jillian; more often. Gradually; Jillian notices that Spencer°s personality seems to have changed; but her concerns fade when she discovers that she°s pregnant. As Jillian grows closer to becoming a mother; her suspicions about Spencer return. Why does it seem as if he°s a different person?','tagline':'How well do you know the one you love?','main_category':'Science_Fiction','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'366','neighb2':'1002','neighb3':'994','neighb4':'1111','neighb5':'720'}"
